Perioden;Regios;Totaal aantal lopend;Tot per 100.000 inwoners lopend;Totaal aantal gesloten;Tot per 100.000 inwoners gesloten;Totaal aantal mannen lopend;Tot per 100.000 inwoners mannen lopend;Totaal aantal mannen gesloten;Tot per 100.000 inwoners mannen gesloten;Totaal aantal vrouwen lopend;Tot per 100.000 inwoners vrouwen lopend;Totaal aantal vrouwen gesloten;Tot per 100.000 inwoners vrouwen gesloten;Tot lopend 0-20;Tot gesloten 0-20;0-20;Tot lopend 20-40;Tot gesloten 20-40;20-40;Tot lopend 40-60;Tot gesloten 40-60;40-60;Tot lopend 60-80;Tot gesloten 60-80;60-80;Tot lopend 80-ouder;Tot gesloten 80-ouder;80-ouder;65+ totaal;80+ totaal;65+ mannen;80+ mannen;65+ vrouwen;80+ vrouwen
2014;Gelderland;1345;66;990;49;550;55;410;41;795;77;575;56;0;0;0;0;0;0;40;35;75;540;380;920;760;575;1335;359684;85613;161800;30759;197884;54854
2014;Utrecht;890;71;680;54;385;63;290;47;505;79;390;61;0;0;0;10;5;15;60;35;95;365;280;645;450;355;805;189141;46080;83749;16441;105392;29639
2014;Noord-Holland ;5250;191;3900;142;2230;165;1630;120;3020;216;2270;162;0;0;0;5;5;10;65;50;115;1835;1290;3125;3340;2555;5895;446126;107160;201114;38881;245012;68279
2014;Zuid-Holland ;3350;93;2635;73;1200;68;950;54;2150;118;1685;93;0;0;0;10;10;20;70;55;125;1060;815;1875;2210;1750;3960;588388;147293;263229;52886;325159;94407
2014;Zeeland;370;97;260;68;165;87;115;61;205;106;145;75;0;0;0;0;0;0;10;10;20;145;105;250;210;145;355;79877;20173;36642;7599;43235;12574
2014;Noord-Brabant;2910;117;2250;90;1220;98;930;75;1690;136;1315;106;0;0;0;5;0;5;90;65;155;1285;950;2235;1530;1225;2755;442345;101819;203029;37396;239316;64423
2014;Limburg;2080;186;1500;134;820;148;590;106;1260;224;905;161;0;0;0;5;5;10;40;25;65;795;550;1345;1245;915;2160;229060;54399;104500;19616;124560;34783
2015;Nederland;17055;101;12725;75;7110;85;5310;63;9945;116;7415;87;0;0;0;40;25;65;415;285;700;6680;4845;11525;9920;7570;17490;2986988;714279;1359176;262521;1627812;451758
2015;Groningen;2235;382;1665;285;950;327;705;242;1280;437;960;328;0;0;0;0;0;0;40;25;65;820;605;1425;1370;1035;2405;104364;25188;47609;9133;56755;16055
2015;Friesland;135;21;115;17;55;17;45;14;75;24;70;21;0;0;0;0;0;0;10;5;15;70;60;130;55;50;105;125094;29342;57791;10752;67303;18590
2015;Drenthe;980;201;755;154;415;170;320;132;570;231;435;176;0;0;0;5;0;5;15;15;30;410;300;710;550;435;985;101948;24665;46757;9275;55191;15390
2015;Overijssel;690;60;530;46;320;56;250;44;370;65;280;49;0;0;0;0;0;0;25;15;40;295;220;515;370;290;660;201173;48713;91530;17723;109643;30990
2015;Flevoland;140;34;100;25;60;30;45;22;80;39;55;28;0;0;0;0;0;0;5;5;10;85;65;150;50;30;80;47798;9846;22465;3824;25333;6022
2015;Gelderland;955;47;675;33;395;39;275;27;560;54;400;39;0;0;0;0;0;0;30;20;50;405;275;680;515;380;895;371104;88142;167769;32062;203335;56080
2015;Utrecht;770;61;550;43;350;56;260;42;420;65;290;45;0;0;0;15;10;25;60;40;100;320;215;535;375;280;655;195169;47023;86988;17033;108181;29990
2015;Noord-Holland ;3935;142;3060;110;1740;128;1350;99;2190;156;1710;122;0;0;0;5;5;10;55;40;95;1450;1105;2555;2420;1915;4335;459696;108937;208367;40138;251329;68799
2015;Zuid-Holland ;2955;82;2140;59;1090;61;795;45;1865;102;1345;74;0;0;0;5;5;10;65;40;105;1010;690;1700;1870;1405;3275;605280;149950;272597;54824;332683;95126
2015;Zeeland;160;42;155;41;75;39;70;36;90;46;85;45;0;0;0;0;0;0;0;0;0;65;60;125;95;95;190;82078;20578;37815;7813;44263;12765
2015;Noord-Brabant;2340;94;1740;70;985;79;730;59;1355;109;1010;81;0;0;0;5;0;5;70;55;125;1045;755;1800;1215;930;2145;457145;105626;210977;39377;246168;66249
2015;Limburg;1765;158;1240;111;670;121;465;84;1095;195;775;138;0;0;0;0;0;0;30;25;55;700;495;1195;1035;720;1755;236139;56269;108511;20567;127628;35702
2016;Nederland;13955;82;10655;63;5790;69;4420;52;8170;95;6235;73;0;0;0;55;40;95;360;245;605;5490;4080;9570;8055;6285;14340;3062860;726300;1401220;271176;1661640;455124
2016;Groningen;1385;237;1365;234;580;199;575;197;805;275;790;271;0;0;0;5;0;5;25;25;50;515;500;1015;845;845;1690;106502;25405;48934;9353;57568;16052
