Regios;Perioden;Totaal aantal lopend;Tot per 100.000 inwoners lopend;Totaal aantal gesloten;Tot per 100.000 inwoners gesloten;Totaal aantal mannen lopend;Tot per 100.000 inwoners mannen lopend;Totaal aantal mannen gesloten;Tot per 100.000 inwoners mannen gesloten;Totaal aantal vrouwen lopend;Tot per 100.000 inwoners vrouwen lopend;Totaal aantal vrouwen gesloten;Tot per 100.000 inwoners vrouwen gesloten;Tot lopend 0-20;Tot per 100.000 inwoners lopend 0-20;Tot gesloten 0-20;Tot per 100.000 inwoners gesloten 0-20;Tot lopend 20-40;Tot per 100.000 inwoners lopend 20-40;Tot gesloten 20-40;Tot per 100.000 inwoners gesloten 20-40;Tot lopend 40-60;Tot per 100.000 inwoners lopend 40-60;Tot gesloten 40-60;Tot per 100.000 inwoners gesloten 40-60;Tot lopend 60-80;Tot per 100.000 inwoners lopend 60-80;Tot gesloten 60-80;Tot per 100.000 inwoners gesloten 60-80;Tot lopend 80-ouder;Tot per 100.000 inwoners lopend 80-ouder;Tot gesloten 80-ouder;Tot per 100.000 inwoners gesloten 80-ouder;Tot lopend mannen 0-20;Tot per 100.000 inwoners lopend mannen 0-20;Tot gesloten mannen 0-20;Tot per 100.000 inwoners gesloten mannen 0-20;Tot lopend mannen 20-40;Tot per 100.000 inwoners lopend mannen 20-40;Tot gesloten mannen 20-40;Tot per 100.000 inwoners gesloten mannen 20-40;Tot lopend mannen 40-60;Tot per 100.000 inwoners lopend mannen 40-60;Tot gesloten mannen 40-60;Tot per 100.000 inwoners gesloten mannen 40-60;Tot lopend mannen 60-80;Tot per 100.000 inwoners lopend mannen 60-80;Tot gesloten mannen 60-80;Tot per 100.000 inwoners gesloten mannen 60-80;Tot lopend mannen 80-ouder;Tot per 100.000 inwoners lopend mannen 80-ouder;Tot gesloten mannen 80-ouder;Tot per 100.000 inwoners gesloten mannen 80-ouder;Tot lopend vrouwen 0-20;Tot per 100.000 inwoners lopend vrouwen 0-20;Tot gesloten vrouwen 0-20;Tot per 100.000 inwoners gesloten vrouwen 0-20;Tot lopend vrouwen 20-40;Tot per 100.000 inwoners lopend vrouwen 20-40;Tot gesloten vrouwen 20-40;Tot per 100.000 inwoners gesloten vrouwen 20-40;Tot lopend vrouwen 40-60;Tot per 100.000 inwoners lopend vrouwen 40-60;Tot gesloten vrouwen 40-60;Tot per 100.000 inwoners gesloten vrouwen 40-60;Tot lopend vrouwen 60-80;Tot per 100.000 inwoners lopend vrouwen 60-80;Tot gesloten vrouwen 60-80;Tot per 100.000 inwoners gesloten vrouwen 60-80;Tot lopend vrouwen 80-ouder;Tot per 100.000 inwoners lopend vrouwen 80-ouder;Tot gesloten vrouwen 80-ouder;Tot per 100.000 inwoners gesloten vrouwen 80-ouder;65+ totaal;80+ totaal;65+ mannen;80+ mannen;65+ vrouwen;80+ vrouwen
Gelderland;2015;955;47;675;33;395;39;275;27;560;54;400;39;0;0;0;0;0;0;0;0;30;5;20;4;405;95;275;64;515;530;380;390;0;0;0;0;0;0;0;0;20;6;15;5;195;93;130;62;185;518;135;375;0;0;0;0;0;0;0;0;15;4;10;3;215;98;145;66;330;537;245;398;371104;88142;167769;32062;203335;56080
Gelderland;2016;1025;50;770;38;455;45;345;34;575;56;420;41;0;0;0;0;5;1;5;1;30;5;25;4;445;102;325;75;550;550;415;416;0;0;0;0;0;0;0;0;15;5;10;4;225;105;170;80;215;578;165;443;0;0;0;0;5;2;5;2;15;5;10;3;220;99;155;70;335;532;250;399;381065;90152;173316;33336;207749;56816
Groningen;2009;1745;303;1120;194;635;223;405;142;1110;383;710;245;0;0;0;0;5;3;5;2;30;19;25;15;565;540;350;332;1145;4453;740;2887;0;0;0;0;5;4;0;0;20;23;15;17;265;517;165;319;350;4109;230;2669;0;0;0;0;0;0;0;0;15;16;10;14;305;562;185;345;790;4625;515;2996;87673;23323;37925;7739;49748;15584
Groningen;2010;1920;333;1290;224;700;244;470;164;1220;420;820;282;0;0;0;0;0;0;0;0;30;20;15;10;635;591;420;393;1255;4799;855;3264;0;0;0;0;0;0;0;0;25;28;10;13;295;563;210;399;380;4325;250;2831;0;0;0;0;0;0;0;0;10;12;5;6;340;618;215;388;870;5041;605;3486;89625;23571;39144;7897;50481;15674
Groningen;2011;1940;335;1365;235;745;258;520;180;1200;411;845;290;0;0;0;0;0;0;0;0;40;23;25;16;655;596;425;389;1250;4732;910;3444;0;0;0;0;0;0;0;0;30;35;20;25;310;573;200;374;405;4477;295;3275;0;0;0;0;0;0;0;0;10;11;5;7;345;619;225;404;840;4860;610;3532;91563;23987;40288;8187;51275;15800
Groningen;2012;2040;351;1350;232;785;272;525;182;1255;429;820;281;0;0;0;0;0;0;0;0;30;20;20;12;735;653;460;412;1275;4769;865;3242;0;0;0;0;0;0;0;0;25;31;15;21;355;642;225;408;405;4370;285;3068;0;0;0;0;0;0;0;0;5;9;5;4;380;662;235;415;870;4982;580;3335;95516;24194;42547;8386;52969;15808
Groningen;2013;2070;355;1460;251;785;270;565;194;1285;439;895;306;0;0;0;0;0;0;0;0;35;21;20;14;735;641;490;426;1300;4809;950;3514;0;0;0;0;0;0;0;0;25;31;15;21;355;633;250;439;400;4203;300;3134;0;0;0;0;0;0;0;0;10;12;5;6;380;649;240;412;900;5140;650;3722;98944;24477;44460;8581;54484;15896
Groningen;2014;2250;385;1505;258;910;313;600;207;1340;457;905;309;0;0;0;0;0;0;0;0;40;24;25;15;835;715;535;457;1375;5003;950;3449;0;0;0;0;0;0;0;0;25;32;20;22;410;708;265;462;475;4833;315;3212;0;0;0;0;0;0;0;0;10;15;5;8;425;722;270;453;900;5104;630;3588;101836;24812;46139;8866;55697;15946
Groningen;2015;2235;382;1665;285;950;327;705;242;1280;437;960;328;0;0;0;0;0;0;0;0;40;26;25;15;820;690;605;510;1370;4925;1035;3717;0;0;0;0;0;0;0;0;20;24;15;20;430;734;315;535;500;4932;375;3699;0;0;0;0;0;0;0;0;20;28;10;11;390;645;290;484;870;4922;660;3728;104364;25188;47609;9133;56755;16055
Groningen;2016;1385;237;1365;234;580;199;575;197;805;275;790;271;0;0;0;0;5;2;0;0;25;16;25;15;515;423;500;412;845;2992;845;2992;0;0;0;0;5;4;0;0;10;14;10;14;250;417;245;412;315;3032;315;3032;0;0;0;0;0;0;0;0;15;19;10;15;265;429;255;413;525;2969;525;2969;106502;25405;48934;9353;57568;16052
Limburg;2009;3415;304;2415;215;1245;223;880;158;2175;384;1540;272;0;0;0;0;5;2;5;2;70;20;40;12;1330;559;925;388;2010;3971;1445;2855;0;0;0;0;0;0;0;0;30;17;20;10;575;496;400;343;635;3751;460;2713;0;0;0;0;5;3;0;0;40;23;25;13;755;618;525;431;1375;4082;985;2929;196871;45405;86253;15032;110618;30373
